"id","tier","wins","losses","freshblood","rank"
7920,"PLATINUM",92,74,0,2
7921,"PLATINUM",23,13,0,2
7922,"PLATINUM",64,61,0,2
7923,"PLATINUM",76,70,0,2
7924,"PLATINUM",57,54,0,2
7925,"PLATINUM",69,67,0,2
7926,"PLATINUM",102,116,0,2
7927,"PLATINUM",61,52,0,2
7928,"PLATINUM",135,125,0,2
7929,"PLATINUM",61,57,0,2
7930,"PLATINUM",58,44,1,2
7931,"PLATINUM",81,87,0,2
7932,"PLATINUM",42,29,0,2
7933,"PLATINUM",20,15,0,2
7934,"PLATINUM",62,49,0,2
7935,"PLATINUM",119,131,0,2
7936,"PLATINUM",95,92,0,2
7937,"PLATINUM",39,29,0,2
7938,"PLATINUM",43,43,0,2
7939,"PLATINUM",20,6,0,2
7940,"PLATINUM",54,45,0,2
7941,"PLATINUM",31,24,0,2
7942,"PLATINUM",52,50,0,2
7943,"PLATINUM",53,49,0,2
7944,"PLATINUM",125,120,0,2
7945,"PLATINUM",22,20,0,2
7946,"PLATINUM",28,22,0,2
7947,"PLATINUM",151,188,0,2
7948,"PLATINUM",77,67,0,2
7949,"PLATINUM",123,111,0,2
7950,"PLATINUM",80,87,0,2
7951,"PLATINUM",53,48,0,2
7952,"PLATINUM",58,46,0,2
7953,"PLATINUM",38,35,0,2
7954,"PLATINUM",51,37,0,2
7955,"PLATINUM",30,29,0,2
7956,"PLATINUM",42,35,1,2
7957,"PLATINUM",61,69,0,2
7958,"PLATINUM",28,18,0,2
7959,"PLATINUM",39,30,0,2
7960,"PLATINUM",102,117,0,2
7961,"PLATINUM",144,113,0,2
7962,"PLATINUM",21,14,0,2
7963,"PLATINUM",14,4,0,2
7964,"PLATINUM",79,80,0,2
7965,"PLATINUM",66,54,0,2
7966,"PLATINUM",39,42,0,2
7967,"PLATINUM",74,68,0,2
7968,"PLATINUM",84,72,0,2
7969,"PLATINUM",64,60,0,2
7970,"PLATINUM",94,93,0,2
7971,"PLATINUM",109,99,0,2
7972,"PLATINUM",207,207,0,2
7973,"PLATINUM",92,89,0,2
7974,"PLATINUM",39,25,0,2
7975,"PLATINUM",68,63,0,2
7976,"PLATINUM",46,23,1,2
