"id","tier","wins","losses","freshblood","rank"
7503,"IRON",0,6,0,3
7504,"IRON",1,19,0,3
7505,"IRON",0,8,0,3
7506,"IRON",0,6,0,3
7507,"IRON",0,6,0,3
7508,"IRON",1,9,0,3
7509,"IRON",0,6,0,3
7510,"IRON",0,8,0,3
7511,"IRON",0,7,0,3
7512,"IRON",0,10,0,3
7513,"IRON",0,10,0,3
7514,"IRON",0,7,0,3
7515,"IRON",0,9,0,3
7516,"IRON",0,11,0,3
7517,"IRON",0,6,0,3
7518,"IRON",1,6,0,3
7519,"IRON",0,7,0,3
7520,"IRON",0,6,0,3
7521,"IRON",0,7,0,3
7522,"IRON",0,6,0,3
7523,"IRON",0,12,0,3
7524,"IRON",0,7,0,3
7525,"IRON",0,7,0,3
7526,"IRON",0,9,0,3
7527,"IRON",0,6,0,3
7528,"IRON",1,7,0,3
7529,"IRON",0,9,0,3
7530,"IRON",0,6,0,3
7531,"IRON",1,14,0,3
7532,"IRON",0,6,0,3
7533,"IRON",0,6,0,3
7534,"IRON",0,7,0,3
7535,"IRON",0,6,0,3
7536,"IRON",0,6,0,3
7537,"IRON",0,8,0,3
7538,"IRON",0,6,0,3
7539,"IRON",0,6,0,3
7540,"IRON",0,6,0,3
7541,"IRON",1,10,0,3
7542,"IRON",1,18,0,3
7543,"IRON",0,6,0,3
7544,"IRON",0,6,0,3
7545,"IRON",0,9,0,3
7546,"IRON",0,6,0,3
7547,"IRON",0,6,0,3
7548,"IRON",0,6,0,3
7549,"IRON",0,6,0,3
7550,"IRON",1,6,0,3
7551,"IRON",0,7,0,3
7552,"IRON",0,10,0,3
7553,"IRON",0,6,0,3
7554,"IRON",0,7,0,3
7555,"IRON",1,8,0,3
7556,"IRON",0,6,0,3
7557,"IRON",0,7,0,3
7558,"IRON",0,6,0,3
7559,"IRON",0,6,0,3
7560,"IRON",0,12,0,3
7561,"IRON",0,6,0,3
7562,"IRON",2,12,0,3
7563,"IRON",0,7,0,3
7564,"IRON",2,11,0,3
7565,"IRON",0,6,0,3
7566,"IRON",0,8,0,3
7567,"IRON",0,7,0,3
7568,"IRON",0,7,0,3
7569,"IRON",0,6,0,3
7570,"IRON",0,6,0,3
7571,"IRON",0,7,0,3
7572,"IRON",0,6,0,3
7573,"IRON",0,7,0,3
7574,"IRON",0,6,0,3
7575,"IRON",0,8,0,3
7576,"IRON",1,8,0,3
7577,"IRON",0,7,0,3
7578,"IRON",0,6,0,3
7579,"IRON",1,11,0,3
7580,"IRON",0,6,0,3
7581,"IRON",1,8,0,3
7582,"IRON",0,6,0,3
7583,"IRON",0,7,0,3
7584,"IRON",0,10,0,3
7585,"IRON",0,6,0,3
7586,"IRON",0,7,0,3
7587,"IRON",0,11,0,3
7588,"IRON",0,6,0,3
7589,"IRON",0,7,0,3
7590,"IRON",0,10,0,3
7591,"IRON",1,13,0,3
7592,"IRON",0,6,0,3
7593,"IRON",0,15,0,4
7594,"IRON",0,23,0,4
7595,"IRON",0,99,0,4
7596,"IRON",1,46,0,4
7597,"IRON",3,22,0,4
7598,"IRON",0,22,0,4
7599,"IRON",0,15,0,4
7600,"IRON",1,24,0,4
7601,"IRON",0,25,0,4
7602,"IRON",0,17,0,4
7603,"IRON",0,22,0,4
7604,"IRON",0,18,0,4
7605,"IRON",0,15,0,4
7606,"IRON",1,26,0,4
7607,"IRON",0,29,0,4
7608,"IRON",0,15,0,4
7609,"IRON",0,27,0,4
7610,"IRON",0,30,0,4
7611,"IRON",1,23,0,4
7612,"IRON",1,32,0,4
7613,"IRON",0,21,0,4
7614,"IRON",0,18,0,4
7615,"IRON",0,15,0,4
7616,"IRON",0,15,0,4
7617,"IRON",0,17,0,4
7618,"IRON",3,20,0,4
7619,"IRON",0,42,0,4
7620,"IRON",0,25,0,4
7621,"IRON",0,21,0,4
7622,"IRON",6,70,0,4
7623,"IRON",1,37,0,4
7624,"IRON",1,22,0,4
7625,"IRON",3,40,0,4
7626,"IRON",0,19,0,4
7627,"IRON",0,22,0,4
7628,"IRON",1,22,0,4
7629,"IRON",0,16,0,4
7630,"IRON",0,24,0,4
7631,"IRON",0,27,0,4
7632,"IRON",0,17,0,4
7633,"IRON",13,82,0,4
7634,"IRON",1,22,0,4
7635,"IRON",0,33,0,4
7636,"IRON",0,24,0,4
7637,"IRON",2,18,0,4
7638,"IRON",0,21,0,4
7639,"IRON",0,18,0,4
7640,"IRON",0,15,0,4
7641,"IRON",0,18,0,4
7642,"IRON",0,402,0,4
7643,"IRON",4,42,0,4
